345691,EC-MXU,ES,41.183788,2.059375,1752,191,390,18.5,3245,30KE,IBE30KE,IB3013,LEBL,BCN,LEMD,MAD,IBE,IB,A20N,1686299211,en-route
345698,EC-MVC,ES,42.111015,5.360753,10972,38,931,0,5333,46RR,ANE46RR,IB8756,LEMD,MAD,LIPE,BLQ,IBE,IB,CRJX,1686299211,en-route
346047,EC-MXP,ES,46.042648,11.070869,11277,229,746,0,6667,92DP,VLG92DP,VY1813,EDDM,MUC,LEBL,BCN,VLG,VY,A320,1686299213,en-route
346057,EC-MYX,ES,-17.490793,-55.390369,12877,220,877,0,2423,6833,IBE6833,IB6833,LEMD,MAD,SCEL,SCL,IBE,IB,A359,1686299209,en-route
346089,EC-NAE,ES,36.681618,-4.494504,0,236,7,0,2130,3DH,VLG3DH,VY8364,EHAM,AMS,LEMG,AGP,VLG,VY,A20N,1686299203,en-route
346090,EC-NBA,ES,41.29528,2.082846,0,157,38,0,4061,61NB,VLG61NB,VY1516,LFMN,NCE,LEBL,BCN,VLG,VY,A20N,1686299207,en-route
346114,EC-NBO,ES,37.017151,-29.881411,12192,79,966,-0.3,3156,858,EVE858,E9858,MROC,SJO,LEMD,MAD,EVE,E9,A359,1686299203,en-route
346146,EC-NBE,ES,29.277845,-40.816853,11887,59,887,0,2215,6588,IBE6588,IB6588,SKBO,BOG,LEMD,MAD,IBE,IB,A359,1686299179,en-route
346183,EC-NDA,ES,40.913132,2.012183,3368,82,514,-2.3,6277,655F,VLG655F,VY2473,GCRR,ACE,LEBL,BCN,VLG,VY,A20N,1686299211,en-route
346186,EC-NFH,ES,41.646515,1.73559,4305,114,598,-2.6,0242,4QL,VLG4QL,VY1293,LECO,LCG,LEBL,BCN,VLG,VY,A20N,1686299205,en-route
346193,EC-NCB,ES,40.890041,-3.163938,10363,309,748,0,3734,98ZX,VOE98ZX,V73413,LEMI,RMU,LEXJ,SDR,VOE,V7,A319,1686299212,en-route
346204,EC-NDN,ES,47.041176,0.537908,10965,16,872,0.3,1000,32ZC,IBE32ZC,IB3206,LEMD,MAD,EBBR,BRU,IBE,IB,A20N,1686299211,en-route
346291,EC-NCY,ES,39.030624,-20.773952,11879,92,963,-0.3,2326,98,AEA98,UX98,KMIA,MIA,LEMD,MAD,AEA,UX,B789,1686299183,en-route
346297,EC-NDD,ES,28.486757,-16.479223,2979,90,533,-5.2,5025,7DX,RSC7DX,NT656,GCHI,VDE,GCXO,TFN,IBB,NT,AT76,1686299209,en-route
346303,EC-NER,ES,41.859634,-2.689606,10363,23,875,0,1444,34LV,IBE34LV,IB3436,LEMD,MAD,LFPO,ORY,IBE,IB,A20N,1686299209,en-route
346345,EC-NGG,ES,28.474777,-16.317865,624,291,207,-3.3,6342,347T,IBB347T,NT119,GCLP,LPA,GCXO,TFN,IBB,NT,AT76,1686299209,en-route
346384,EC-NGM,ES,-23.423969,-46.690571,1752,173,440,-2,2425,57,AEA57,UX57,LEMD,MAD,SBGR,GRU,AEA,UX,B789,1686299213,en-route
346385,EC-NGN,ES,40.078915,11.286829,11887,102,955,0,4304,1301,AEA1301,UX1301,LEMD,MAD,LLBG,TLV,AEA,UX,B789,1686299211,en-route
346386,EC-NGT,ES,29.130964,-39.252083,11582,58,911,0,5625,6650,IBE6650,IB6650,SPJC,LIM,LEMD,MAD,IBE,IB,A359,1686299179,en-route
346398,EC-NHA,ES,33.763229,-10.903258,11582,35,935,0,6251,53SK,IBB53SK,NT5400,GCLP,LPA,LEPP,PNA,IBB,NT,E295,1686299167,en-route
346442,EC-NJK,ES,28.534428,-17.608175,822,287,470,-2.9,6331,6MZ,RSC6MZ,NT611,GCXO,TFN,GCLA,SPC,IBB,NT,AT76,1686299206,en-route
346456,EC-NJM,ES,40.896652,-31.643494,12496,84,968,0,3251,6402,IBE6402,IB6402,MMMX,MEX,LEMD,MAD,IBE,IB,A359,1686299203,en-route
346458,EC-NJU,ES,41.246017,-2.130249,9517,42,901,6.5,1452,34AP,IBE34AP,IB3480,LEMD,MAD,LSGG,GVA,IBE,IB,A20N,1686299209,en-route
346499,EC-NJY,ES,51.472435,-0.484716,0,165,0,0,2063,31TK,IBE31TK,IB3163,EGLL,LHR,LEMD,MAD,IBE,IB,A20N,1686299202,landed
346605,EC-NNH,ES,9.827205,-33.88308,11277,38,863,0,3237,2606,IBE2606,IB2606,SCEL,SCL,LEBL,BCN,IBE,IB,A332,1686299179,en-route
346611,EC-NOP,ES,40.25209,9.085381,10972,309,783,0.3,1000,56HK,VOE56HK,V72237,LICJ,PMO,LFRS,NTE,VOE,V7,A320,1686299213,en-route
346644,EC-NOY,ES,44.589249,5.689414,6370,315,707,-13,1000,22AP,VOE22AP,V72037,LIEO,OLB,LFLL,LYS,VOE,V7,A320,1686299213,en-route
346648,EC-NPC,ES,40.716019,8.522644,11582,67,905,0,1000,53GF,VOE53GF,V73508,LEBB,BIO,LIRF,FCO,VOE,V7,A320,1686299211,en-route
346649,EC-NPB,ES,41.883282,8.816784,8039,321,714,-5.2,1000,91YT,VOE91YT,V71508,LICJ,PMO,LFMN,NCE,VOE,V7,A320,1686299206,en-route
346689,EC-NPU,ES,35.50383,-9.377289,10972,36,907,0,6224,6SM,IBB6SM,NT5550,GCXO,TFN,LEZG,ZAZ,IBB,NT,E295,1686299211,en-route
347219,EC-NTA,ES,49.397324,2.319778,10972,29,846,0.3,2301,34DC,IBE34DC,IB3496,LEMD,MAD,ENGM,OSL,IBE,IB,A20N,1686299213,en-route
347247,EC-NST,ES,52.345943,13.470494,0,61,83,0,1000,36TD,IBS36TD,IB3676,LEMD,MAD,EDDB,BER,IBS,IB,A21N,1686299211,en-route
347253,EC-NSR,ES,36.513107,-4.609174,449,223,227,-0.7,7270,248,HTY248,LEMG,AGP,HTY,A139,1686299206,en-route
347259,EC-NTX,ES,35.2061,-11.920558,11590,26,927,-0.3,6273,12,TAP12,TP12,SBRF,REC,LPPT,LIS,PLM,TP,A333,1686299212,en-route
347281,EC-NTY,SA,16.527628,75.593834,11582,303,911,0,6736,5043,SVA5043,SV5043,WIMM,KNO,SVA,SV,A333,1686299208,en-route
